Primary,Secondary,UV1-A,UV2-A,UV3-A,UV4-A,UV5-A,UV6-A,UV7-A,UV8-A,UV9-A,UV10-A,UV11-A,UV12-A,UV13-A,UV14-A,UV15-A,UV16-A,V1-A,V2-A,V3-A,V4-A,V5-A,V6-A,V7-A,V8-A,V9-A,V10-A,V11-A,V12-A,V13-A,V14-A,V15-A,V16-A,B1-A,B2-A,B3-A,B4-A,B5-A,B6-A,B7-A,B8-A,B9-A,B10-A,B11-A,B12-A,B13-A,B14-A,YG1-A,YG2-A,YG3-A,YG4-A,YG5-A,YG6-A,YG7-A,YG8-A,YG9-A,YG10-A,R1-A,R2-A,R3-A,R4-A,R5-A,R6-A,R7-A,R8-A
R718,R718,-0.000353777,-0.000222236,-0.000310504,0.000148992,0.000231985,-4.44E-05,0.00137175,0.001804115,-0.000106578,0.00068506,0.000385057,0.006902621,0.039610984,0.041140029,0.029914595,0.027299237,-0.000299561,0.000703323,0.001087175,-6.36E-06,0.001968643,0.00153968,0.00150246,0.002227036,0.000847185,0.000808797,0.001122843,0.012117609,0.062779661,0.046960737,0.036210159,0.023470989,0.00192026,0.002306834,0.002300608,0.001509694,0.001385719,0.000750497,0.00064395,0.000238808,0.003043572,0.006111745,0.005315449,0.002965175,0.003052817,0.003137967,0.001089409,-1.36E-06,0.00108173,0.001633832,0.004956556,0.026143608,0.131375116,0.058368017,0.045994357,0.036034531,0.003796339,0.031197687,0.318410236,1,0.940847456,0.519717384,0.574554326,0.379136251
RB545,RealBlue545,0.00061359,-0.000776394,0.000166041,-0.000974594,0.000343003,-0.000278594,0.03820893,0.03002762,0.017488265,0.004346627,0.004591827,0.001071451,0.001125607,0.001020537,-0.000588228,0.001666879,0.000409453,0.000133916,0.002362318,0.004716,0.034216376,0.054361085,0.063893264,0.030103037,0.017895586,0.017550762,0.006336582,0.005343325,0.004401701,0.006008954,0.003847174,0.002125863,0.885780892,1,0.769952564,0.210077688,0.113811606,0.065597311,0.023903695,0.017563677,0.012550832,0.004222328,0.003527846,0.002652014,0.002498007,0.004032096,0.002845779,0.002086761,0.001963277,0.002028147,0.000819638,0.001016266,0.000919751,0.0024557,0.001821974,0.000407582,-0.000371006,0.00109625,0.000550969,0.000658974,-7.11E-05,0.002684554,0.001129995,0.001176291
RB705,RealBlue705,-4.86E-05,-0.000211962,0.000157918,-0.000207872,-2.31E-05,0.000216389,0.001364542,0.001448284,0.001316153,0.000449325,0.00150594,0.022157429,0.054672668,0.042288872,0.034674576,0.023694369,6.76E-05,0.000151161,0.000312411,0.000252023,0.000608288,0.001307929,0.001857946,0.001367102,0.000831366,0.000935161,0.003957951,0.05786778,0.129242844,0.068359822,0.060339944,0.026928936,0.009491961,0.014733107,0.013500553,0.005811393,0.003771307,0.002552157,0.018498996,0.173680177,1,0.983120144,0.476153142,0.393208354,0.358489616,0.346941261,0.000311636,0.000232374,0.000373396,0.00032257,0.003430738,0.016031528,0.034524078,0.010638812,0.010044827,0.005892528,0.001951236,0.024959245,0.157644646,0.234218239,0.144733871,0.089694127,0.104962943,0.0489741
